Correct,cdfRatioOfSums1,cdfRatioOfSums2,cdfRatioOfSums3,cdfRatioOfSums4,cdfRatioOfSums5,tOrthoVStParaAbs,hOrthoVShParaAbs,validFrameLength
0,0.680851064,0.631205539,0.760566165,0.988581879,1.026588646,0,0,2
1,1.15232,1.09827,1.08427,1.00929,1.01345,0.58328,1.00311,69
0,0.868538077,0.909752547,0.921225968,0.955703159,0.96913311,0.61821,0.30346,178
0,0.94687,1.07901,1.01887,0.97698,0.96968,0.17475,0.20774,27
0,0.861103935,0.915969004,0.951891408,1.022641278,1.007313093,0.41409,0.15937,88
0,0.860000516,0.850665646,0.859793478,0.983139163,1.008105166,0.42764,0.21827,277
0,0.95409,0.94891,0.96037,1.07622,0.99715,0.1319,0.40171,60
1,0.9885,1.0258,1.01155,0.92661,0.92902,0.19333,0.45356,5242
1,1.04619,1.03908,1.00748,0.93305,0.92791,0.16085,0.44213,2046
1,1.00373,1.04726,1.02112,0.92781,0.91524,0.13122,0.44576,1744
0,0.991168687,0.862879775,0.895872714,0.95697443,0.937848763,0.28969,0.14575,32
0,1.045992281,1.029622232,1.044222837,1.138420555,1.157233287,0.41891,0.17415,11917
0,1.004056388,1.00922431,1.024579666,1.089277156,1.079295867,0.40849,0.16684,2431
1,0.93744,0.90258,0.90066,0.89967,0.94127,0.17283,0.49682,16993
1,0.95035,0.94571,0.96169,0.93926,0.92239,0.18157,0.41781,18464
0,1.01502233,1.01999184,1.017221561,1.053563151,1.092549902,0.36476,0.17472,10145
0,1.042687632,1.023153974,1.009173386,1.041753479,1.067794257,0.35997,0.17613,6882
1,0.97589,0.9783,0.98716,0.96308,0.94805,0.16989,0.32765,1695
0,0.873232795,0.809703487,0.900292595,1.060816617,1.12870639,0.3352,0.13859,211
1,1.02343,1.03915,0.99753,0.89977,0.88019,0.15778,0.43667,11308
0,1.047690889,0.935366196,0.984639622,1.176789013,1.237868885,0.53804,0.22115,6393
0,1.006258931,1.065348475,1.107628236,1.071352046,1.008166146,0.39709,0.16523,1728
0,1.144898333,1.190504536,1.17688596,1.163115288,1.120636522,0.41828,0.16099,9013
1,0.93693,0.90898,0.88664,0.88217,0.91427,0.15217,0.43597,6974
1,0.75768,0.86017,0.97649,0.90954,0.88422,0.49895,0.53007,728
1,0.75731,0.74617,0.9029,0.88218,0.91192,0.71013,0.44439,8
1,0.71908,0.72368,0.89143,0.87529,0.90688,0,0,2
1,0.7755,0.73311,0.9186,0.86916,0.888,0,0,1
